sec,loop_ticks,write_ticks
1788823459,179,55
1788823460,190,50
1788823461,206,52
1788823462,191,57
1788823463,188,57
1788823464,196,72
1788823465,195,49
1788823466,161,37
1788823467,152,43
1788823468,228,91
1788823469,202,64
1788823470,151,55
1788823471,202,59
1788823472,241,94
1788823473,221,71
1788823474,216,66
1788823475,194,55
1788823476,184,38
1788823477,178,45
1788823478,256,89
1788823479,214,60
1788823480,190,55
1788823481,233,57
1788823482,210,77
1788823483,246,87
1788823484,171,58
1788823485,174,61
1788823486,199,73
1788823487,240,84
1788823488,193,71
1788823489,191,71
1788823490,245,69
1788823491,195,58
1788823492,238,93
1788823493,198,64
1788823494,242,72
1788823495,157,61
1788823496,216,67
1788823497,203,61
1788823498,180,55
1788823499,209,74
1788823500,257,68
1788823501,240,62
1788823502,262,83
1788823503,221,57
1788823504,213,67
1788823505,230,69
1788823506,257,86
1788823507,228,70
1788823508,200,62
1788823509,219,90
1788823510,212,69
1788823511,197,59
1788823512,193,59
1788823513,235,93
1788823514,201,71
1788823515,216,57
1788823516,247,56
1788823517,235,64
1788823518,213,82
1788823519,247,82
1788823520,187,59
1788823521,228,77
1788823522,221,60
1788823523,232,77
1788823524,222,62
1788823525,230,83
1788823526,240,92
1788823527,200,65
1788823528,225,66
1788823529,219,75
1788823530,227,75
1788823531,208,69
1788823532,279,121
1788823533,202,74
1788823534,228,78
1788823535,226,82
1788823536,205,73
1788823537,195,56
1788823538,205,71
1788823539,193,43
1788823540,253,85
1788823541,226,79
1788823542,225,71
1788823543,224,78
1788823544,158,42
1788823545,247,110
1788823546,224,76
1788823547,209,64
1788823548,208,57
1788823549,131,39
1788823550,164,55
1788823551,169,52
1788823552,204,64
1788823553,201,58
1788823554,211,71
1788823555,209,57
1788823556,183,44
1788823557,239,62
1788823558,237,86
1788823559,167,56
1788823560,180,68
1788823561,227,64
1788823562,237,76
1788823563,258,82
1788823564,195,60
1788823565,257,100
1788823566,204,67
1788823567,195,59
1788823568,205,67
1788823569,227,92
1788823570,231,62
1788823571,267,98
1788823572,202,66
1788823573,211,73
1788823574,230,58
1788823575,244,78
1788823576,238,75
1788823577,213,79
1788823578,266,123
1788823579,202,83
1788823580,238,82
1788823581,215,79
1788823582,263,109
1788823583,254,87
1788823584,216,73
1788823585,251,71
1788823586,199,70
1788823587,227,67
1788823588,214,92
1788823589,213,60
1788823590,184,60
1788823591,205,55
