# tic-pair runs 3 and 4, 2026-09-08 20:35-20:58 PDT, v3 kernel (pulse at handler ENTRY, before the PCIe read, on every bank-0 IRQ)
# run 3 (20:35-20:45): 6 samples only -- the tool's blocking fetch skipped the PPS pulse because the warm-edge pulse 150 us earlier
#   woke it first; the 6 were warm pulses paired late (-144 us). Tool fixed: settle 0.5 ms, take the newest event, 50 us window.
# run 4 (20:48-20:58), .17 use_early=0, delta17=0: interval = debug_leaf - gps_leaf on .17's clock, ns
tic-pair: n=60 median 2463 mean 2469 robust 110 p99|dev| 408 min 2074 max 2888 ns
tic-pair: n=120 median 2463 mean 2488 robust 110 p99|dev| 408 min 2074 max 3000 ns
tic-pair: n=180 median 2445 mean 2491 robust 111 p99|dev| 443 min 2074 max 4315 ns
tic-pair: n=240 median 2445 mean 2484 robust 111 p99|dev| 443 min 1981 max 4315 ns
tic-pair: n=300 median 2444 mean 2480 robust 136 p99|dev| 519 min 1981 max 4315 ns
tic-pair: n=360 median 2444 mean 2475 robust 136 p99|dev| 519 min 1981 max 4315 ns
tic-pair: n=420 median 2426 mean 2463 robust 124 p99|dev| 462 min 1981 max 4315 ns
tic-pair: n=480 median 2444 mean 2467 robust 136 p99|dev| 482 min 1981 max 4315 ns
tic-pair: n=540 median 2444 mean 2468 robust 136 p99|dev| 482 min 1981 max 4315 ns
# final: n=597 median 2444 mean 2474 robust 136 p10 2314 p90 2685 min 1963 max 4315 ns
# warmer loop (drive->entry, same posted-write flight + entry) on .18 at the time: mean 2222 ns (n=1467 since boot)
# => entry delay = 2.22 - ~0.5 (posted write one-way, half the 0.99 us read RTT) ~= 1.7 us (loop) / 1.9 us (pairing, incl. Pi 4 instance asymmetry); DELIVERY_NS set to 1800
# CSV gps_sec,interval_ns
1788925987,2296
1788925988,2482
1788925989,2371
1788925990,2389
1788925991,2093
1788925992,2444
1788925993,2315
1788925994,2648
1788925995,2352
1788925996,2777
1788925998,2444
1788925999,2555
1788926000,2518
1788926001,2297
1788926002,2408
1788926003,2334
1788926004,2426
1788926005,2334
1788926006,2482
1788926007,2259
1788926008,2463
1788926009,2185
1788926010,2777
1788926011,2407
1788926012,2500
1788926013,2556
1788926014,2630
1788926015,2407
1788926016,2389
1788926017,2296
1788926018,2463
1788926019,2407
1788926020,2611
1788926021,2667
1788926022,2426
1788926023,2389
1788926024,2796
1788926025,2444
1788926026,2612
1788926027,2426
1788926028,2537
1788926029,2426
1788926030,2481
1788926031,2445
1788926032,2482
1788926033,2185
1788926034,2370
1788926035,2797
1788926036,2444
1788926037,2389
1788926038,2963
1788926039,2426
1788926040,2667
1788926041,2519
1788926042,2611
1788926043,2296
1788926044,2352
1788926045,2166
1788926046,2593
1788926047,2370
1788926048,2296
1788926049,2592
1788926050,2500
1788926051,2278
1788926052,2426
1788926053,2315
1788926054,2445
1788926055,2333
1788926056,2370
1788926057,2296
1788926058,2333
1788926059,2370
1788926060,2500
1788926061,2352
1788926062,2407
1788926063,2593
1788926064,2500
1788926065,2204
1788926066,2481
1788926067,2333
1788926068,2334
1788926069,2037
1788926070,2389
1788926071,2278
1788926072,2370
1788926073,2259
1788926074,2778
1788926075,2278
1788926076,2463
1788926077,2574
1788926078,2333
1788926079,2352
1788926080,2334
1788926081,2240
1788926082,2426
1788926083,2333
1788926084,2481
1788926085,2296
1788926086,2352
1788926087,2352
1788926088,2741
1788926089,2093
1788926090,2370
1788926091,2648
1788926092,2445
1788926093,2278
1788926094,2315
1788926095,2166
1788926096,2482
1788926097,2240
1788926098,2444
1788926099,2315
1788926100,2389
1788926101,2241
1788926102,2797
1788926103,2407
1788926104,2500
1788926105,2389
1788926106,2241
1788926107,2333
1788926108,2370
1788926109,2425
1788926110,2352
1788926111,2222
1788926112,2500
1788926113,2407
1788926114,2482
1788926115,2352
1788926116,2759
1788926117,2500
1788926118,2555
1788926119,2315
1788926120,2463
1788926121,2241
1788926122,2444
1788926123,2222
1788926124,2611
1788926125,2240
1788926126,2370
1788926127,2667
1788926128,2629
1788926129,2445
1788926130,2592
1788926131,2463
1788926132,2593
1788926133,2333
1788926134,2444
1788926135,2796
1788926136,2389
1788926137,2389
1788926138,2926
1788926139,2555
1788926140,2518
1788926141,2574
1788926142,2518
1788926143,2389
1788926144,2537
1788926145,2519
1788926146,2537
1788926147,2037
1788926148,2555
1788926149,2408
1788926150,2389
1788926151,2371
1788926152,2667
1788926153,2463
1788926154,2444
1788926155,2555
1788926156,2611
1788926157,2408
1788926158,2463
1788926159,2352
1788926160,2481
1788926161,2056
1788926162,2574
1788926163,2685
1788926164,2519
1788926165,2389
1788926166,2870
1788926167,2370
1788926168,2686
1788926169,2556
1788926170,2667
1788926171,2333
1788926172,2574
1788926173,2370
1788926174,2519
1788926175,2574
1788926176,2426
1788926177,2685
1788926178,2500
1788926179,2500
1788926180,2760
1788926181,2426
1788926182,2389
1788926183,2389
1788926184,2389
1788926185,2426
1788926186,2463
1788926187,2407
1788926188,2667
1788926189,2389
1788926190,2482
1788926191,2667
1788926192,2500
1788926193,2407
1788926194,2630
1788926195,2296
1788926196,2537
1788926197,2333
1788926198,2463
1788926199,2407
1788926200,2445
1788926201,2463
1788926202,2333
1788926203,2444
1788926204,2445
1788926205,2759
1788926206,2592
1788926207,2426
1788926208,2370
1788926209,2371
1788926210,2574
1788926211,2407
1788926212,2389
1788926213,2408
1788926214,2481
1788926215,2426
1788926216,2685
1788926217,2352
1788926218,2500
1788926219,2722
1788926220,2333
1788926221,2426
1788926222,2426
1788926223,2334
1788926224,2574
1788926225,2259
1788926226,2630
1788926227,2408
1788926228,2500
1788926229,2518
1788926230,2926
1788926231,2371
1788926232,2555
1788926233,2667
1788926234,2574
1788926235,2371
1788926236,2500
1788926237,2408
1788926238,2500
1788926239,2167
1788926240,2629
1788926241,2666
1788926242,2574
1788926243,2408
1788926244,2981
1788926245,2352
1788926246,2574
1788926247,2630
1788926248,2408
1788926249,2278
1788926250,2445
1788926251,2371
1788926252,2592
1788926253,2445
1788926254,2463
1788926255,2611
1788926256,2518
1788926257,2352
1788926258,2777
1788926259,2426
1788926260,2519
1788926261,2555
1788926262,2370
1788926263,2500
1788926264,1963
1788926265,2315
1788926266,2334
1788926267,2482
1788926268,2667
1788926269,2649
1788926270,2555
1788926271,2407
1788926272,2833
1788926273,2389
1788926274,2796
1788926275,2537
1788926276,2593
1788926277,2537
1788926278,2685
1788926279,2371
1788926280,2389
1788926281,2500
1788926282,2500
1788926283,2723
1788926284,2611
1788926285,2426
1788926286,2814
1788926287,2518
1788926288,2574
1788926289,2334
1788926290,2519
1788926291,2871
1788926292,2500
1788926294,2722
1788926295,2852
1788926296,2426
1788926297,2574
