# tic-pair run 2, 2026-09-08 19:23-19:33 PDT: .18 entry pulse (GPIO23, rp1_pps_debug_gpio=23, emitted AFTER the PCIe INTS read) -> .17 GPIO22 (runtime pps-gpio overlay, pps@16)
# .17 use_early=0 for the run (both instances leaf-stamped; delta17=0), interval = debug_leaf - gps_leaf on .17's clock, ns
# run 1 (use_early=1) was void: the second pps-gpio instance adopted the GPS pulse's entry stamp (guard accepts <50 us) -> every interval = -990
tic-pair: n=60 median 3352 mean 3388 robust 248 p99|dev| 389 min 2981 max 3833 ns
tic-pair: n=120 median 3371 mean 3418 robust 246 p99|dev| 592 min 2944 max 4944 ns
tic-pair: n=180 median 3408 mean 3437 robust 246 p99|dev| 573 min 2944 max 4944 ns
tic-pair: n=240 median 3408 mean 3431 robust 234 p99|dev| 573 min 2944 max 4944 ns
tic-pair: n=300 median 3407 mean 3424 robust 221 p99|dev| 574 min 2944 max 4944 ns
tic-pair: n=360 median 3389 mean 3411 robust 246 p99|dev| 592 min 2908 max 4944 ns
tic-pair: n=420 median 3389 mean 3416 robust 246 p99|dev| 574 min 2908 max 4944 ns
tic-pair: n=480 median 3389 mean 3414 robust 246 p99|dev| 592 min 2870 max 4944 ns
tic-pair: n=540 median 3389 mean 3408 robust 246 p99|dev| 574 min 2834 max 4944 ns
tic-pair: n=600 median 3388 mean 3398 robust 246 p99|dev| 593 min 2815 max 4944 ns
# final: n=601 median 3388 mean 3399 robust 246 p10 3111 p90 3703 min 2815 max 4944 ns
# CSV gps_sec,interval_ns follows
1788920878,3204
1788920879,3352
1788920880,3463
1788920881,3408
1788920882,3204
1788920883,3186
1788920884,3500
1788920885,2908
1788920886,3463
1788920887,3111
1788920888,3667
1788920889,3463
1788920890,3296
1788920891,3334
1788920892,3315
1788920893,3167
1788920894,3352
1788920895,3592
1788920896,3333
1788920897,3130
1788920898,3240
1788920899,3926
1788920900,3556
1788920901,3019
1788920902,3556
1788920903,3130
1788920904,3185
1788920905,2963
1788920906,3074
1788920907,3167
1788920908,3686
1788920909,3167
1788920910,3111
1788920911,3519
1788920912,3166
1788920913,3056
1788920914,3611
1788920915,3704
1788920916,3722
1788920917,3037
1788920918,3166
1788920919,3778
1788920920,3055
1788920921,3259
1788920922,3908
1788920923,3444
1788920924,3389
1788920925,3259
1788920926,3407
1788920927,3408
1788920928,3389
1788920929,3278
1788920930,3334
1788920931,3926
1788920932,3223
1788920933,3611
1788920934,3314
1788920935,3611
1788920936,3445
1788920937,3167
1788920938,3222
1788920939,3759
1788920940,3389
1788920941,3537
1788920942,3222
1788920943,3649
1788920944,3334
1788920945,3759
1788920946,3352
1788920947,3537
1788920948,3222
1788920949,3463
1788920950,3833
1788920951,3352
1788920952,3296
1788920953,3556
1788920954,3315
1788920955,3574
1788920956,3426
1788920957,3370
1788920958,3611
1788920959,3592
1788920960,3370
1788920961,3351
1788920962,3463
1788920963,3315
1788920964,3648
1788920965,3203
1788920966,3797
1788920967,3685
1788920968,3333
1788920969,3037
1788920970,3371
1788920971,3611
1788920972,3870
1788920973,3537
1788920974,3352
1788920975,3351
1788920976,3260
1788920977,3333
1788920978,3760
1788920979,3519
1788920980,3593
1788920981,3481
1788920982,3482
1788920983,3815
1788920984,3204
1788920985,3314
1788920986,3407
1788920987,3519
1788920988,3185
1788920989,3092
1788920990,3074
1788920991,3389
1788920992,3519
1788920993,3407
1788920994,3463
1788920995,3426
1788920996,3389
1788920997,3278
1788920998,3445
1788920999,3388
1788921000,3796
1788921001,3241
1788921002,3278
1788921003,3555
1788921004,2870
1788921005,3241
1788921006,3685
1788921007,3259
1788921008,3500
1788921009,3926
1788921010,3185
1788921011,3519
1788921012,3315
1788921013,3166
1788921014,4037
1788921015,3222
1788921016,3185
1788921017,3444
1788921018,3444
1788921019,3000
1788921020,3778
1788921021,3166
1788921022,3240
1788921023,3630
1788921024,3389
1788921025,3444
1788921026,3315
1788921027,3296
1788921028,3741
1788921029,3371
1788921030,3667
1788921031,3000
1788921032,3222
1788921033,2981
1788921034,3648
1788921035,3018
1788921036,3592
1788921037,3333
1788921038,3667
1788921039,3482
1788921040,3518
1788921041,3019
1788921042,3741
1788921043,3074
1788921044,3666
1788921045,3259
1788921046,3278
1788921047,3018
1788921048,3463
1788921049,3481
1788921050,3778
1788921051,3889
1788921052,3426
1788921053,3167
1788921054,3296
1788921055,3407
1788921056,3833
1788921057,3333
1788921058,3593
1788921059,3575
1788921060,3370
1788921061,3111
1788921062,3204
1788921063,3333
1788921064,3333
1788921065,3667
1788921066,3352
1788921067,3444
1788921068,3203
1788921069,3166
1788921070,3704
1788921071,3092
1788921072,3370
1788921073,3629
1788921074,3407
1788921075,3037
1788921076,3352
1788921077,3333
1788921078,3519
1788921079,3056
1788921080,3371
1788921081,3630
1788921082,3297
1788921083,3167
1788921084,3092
1788921085,3519
1788921086,3074
1788921087,3463
1788921088,2834
1788921089,3703
1788921090,3148
1788921091,3240
1788921092,3130
1788921093,3241
1788921094,2944
1788921095,3797
1788921096,3167
1788921097,3500
1788921098,3111
1788921099,3389
1788921100,3037
1788921101,3500
1788921102,3574
1788921103,3777
1788921104,3407
1788921105,3556
1788921106,3759
1788921107,3408
1788921108,3389
1788921109,3408
1788921110,3297
1788921111,3630
1788921112,3425
1788921113,3445
1788921114,3018
1788921115,3519
1788921116,3148
1788921117,3592
1788921118,2963
1788921119,3296
1788921120,2815
1788921121,3074
1788921122,3519
1788921123,3444
1788921124,3166
1788921125,3629
1788921126,3204
1788921127,3426
1788921128,3611
1788921129,3111
1788921130,3167
1788921131,3630
1788921132,3093
1788921133,3388
1788921134,3241
1788921135,3222
1788921136,3056
1788921137,3574
1788921138,3093
1788921139,3315
1788921140,4000
1788921141,3148
1788921142,3462
1788921143,3444
1788921144,3315
1788921145,3685
1788921146,3056
1788921147,3370
1788921148,3055
1788921149,3388
1788921150,3019
1788921151,3167
1788921152,2982
1788921153,3223
1788921154,3370
1788921155,3167
1788921156,3259
1788921157,3204
1788921158,3389
1788921159,3592
1788921160,3092
1788921161,3148
1788921162,3482
1788921163,3241
1788921164,3111
1788921165,3130
1788921166,3000
1788921167,3685
1788921168,3408
1788921169,3259
1788921170,3852
1788921171,3056
1788921172,3611
1788921173,3333
1788921174,3426
1788921175,3686
