13:38 PDT CONTROL
13:46 PDT GAP1 drop 30 1
13:56 PDT GAP2 drop 30 2
14:06 PDT DROP_OFF
no usable qErr for 1788899866 (1 misses, pulse NOT published)
PRED,1788900377,1,-0.197,-3.328,-3.296,-0.032,-0.032,skip
PRED,1788900407,1,-0.204,-3.127,-3.229,+0.102,+0.102,pub
PRED,1788900437,1,-0.239,+3.045,+3.021,+0.024,+0.024,pub
PRED,1788900467,1,-0.253,-3.344,-3.369,+0.025,+0.025,skip
600 samples (last: raw dev +859 ns, qErr -3.67 ns, miss 1, predicted 2, cut-skipped 2, pred LINEAR err mean 0.05 max 0.10 ns, >3ns 0, over 4)
PRED,1788900497,1,-0.215,-2.188,-1.832,-0.356,-0.356,pub
PRED,1788900527,1,+0.035,+1.748,+1.316,+0.432,+0.432,pub
PRED,1788900557,1,-0.237,+1.945,+2.021,-0.076,-0.076,pub
PRED,1788900587,1,-0.164,+0.833,+0.818,+0.015,+0.015,pub
PRED,1788900617,1,-0.205,-1.497,-1.370,-0.127,-0.127,pub
PRED,1788900647,1,-0.231,-3.881,-3.667,-0.214,-0.214,skip
PRED,1788900677,1,-0.211,+3.869,+3.276,+0.593,+0.593,skip
PRED,1788900707,1,-0.215,+2.336,+2.063,+0.273,+0.273,pub
PRED,1788900737,1,-0.204,-2.509,-2.599,+0.090,+0.090,pub
PRED,1788900767,1,+0.064,+1.082,+1.086,-0.004,-0.004,pub
PRED,1788900797,1,+0.059,-0.501,-0.581,+0.080,+0.080,pub
PRED,1788900827,1,+0.016,+1.680,+1.663,+0.017,+0.017,pub
PRED,1788900857,1,+0.249,-2.823,-3.317,+0.494,+0.494,pub
PRED,1788900887,1,-0.044,-2.474,-2.434,-0.040,-0.040,pub
PRED,1788900917,1,-0.018,-1.958,-1.950,-0.008,-0.008,pub
PRED,1788900947,1,-0.004,-0.973,-1.008,+0.035,+0.035,pub
PRED,1788900977,1,+0.023,-2.520,-2.505,-0.015,-0.015,pub
PRED,1788900978,2,+0.023,-2.497,-2.472,-0.025,-0.025,pub
PRED,1788901007,1,+0.002,+3.690,+3.699,-0.009,-0.009,skip
PRED,1788901008,2,+0.002,+3.692,+3.723,-0.031,-0.031,skip
PRED,1788901037,1,+0.046,+2.282,+2.349,-0.067,-0.067,pub
PRED,1788901038,2,+0.046,+2.328,+2.309,+0.019,+0.019,pub
PRED,1788901067,1,+0.242,-1.328,-1.320,-0.008,-0.008,pub
PRED,1788901068,2,+0.242,-1.086,-0.996,-0.090,-0.090,pub
1200 samples (last: raw dev +861 ns, qErr -0.23 ns, miss 1, predicted 22, cut-skipped 6, pred LINEAR err mean 0.12 max 0.59 ns, >3ns 0, over 28)
PRED,1788901097,1,+0.327,-0.815,-0.469,-0.346,-0.346,pub
PRED,1788901098,2,+0.327,-0.488,+0.040,-0.528,-0.528,pub
PRED,1788901127,1,+0.526,+3.103,+3.113,-0.010,-0.010,pub
PRED,1788901128,2,+0.526,+3.629,-3.762,-0.469,+7.391,skip
PRED,1788901157,1,+0.698,-2.398,-2.349,-0.049,-0.049,pub
PRED,1788901158,2,+0.698,-1.700,-1.508,-0.192,-0.192,pub
PRED,1788901187,1,+0.674,-2.947,-2.815,-0.132,-0.132,pub
PRED,1788901188,2,+0.674,-2.273,-2.341,+0.068,+0.068,pub
PRED,1788901217,1,+0.880,-0.095,-0.224,+0.129,+0.129,pub
PRED,1788901218,2,+0.880,+0.785,+0.548,+0.237,+0.237,pub
PRED,1788901247,1,+0.922,+3.845,-3.943,-0.072,+7.788,skip
PRED,1788901248,2,+0.922,-3.093,-3.018,-0.075,-0.075,pub
PRED,1788901277,1,+0.719,-1.138,-1.285,+0.147,+0.147,pub
PRED,1788901278,2,+0.719,-0.419,-0.612,+0.193,+0.193,pub
PRED,1788901307,1,+0.748,-2.472,-2.480,+0.008,+0.008,pub
PRED,1788901308,2,+0.748,-1.724,-1.356,-0.368,-0.368,pub
PRED,1788901337,1,+1.027,-1.234,-1.684,+0.450,+0.450,pub
PRED,1788901338,2,+1.027,-0.207,-0.706,+0.499,+0.499,pub
PRED,1788901367,1,+0.750,-2.119,-2.216,+0.097,+0.097,pub
PRED,1788901368,2,+0.750,-1.369,-1.042,-0.327,-0.327,pub
PRED,1788901397,1,+0.714,-0.611,-0.590,-0.021,-0.021,pub
PRED,1788901398,2,+0.714,+0.103,+0.099,+0.004,+0.004,pub
PRED,1788901427,1,+1.033,+0.804,+0.408,+0.396,+0.396,pub
PRED,1788901428,2,+1.033,+1.837,+1.464,+0.373,+0.373,pub
PRED,1788901457,1,+0.957,-3.763,-3.728,-0.035,-0.035,skip
PRED,1788901458,2,+0.957,-2.806,-2.761,-0.045,-0.045,pub
PRED,1788901487,1,+1.237,-3.513,-3.648,+0.135,+0.135,skip
PRED,1788901488,2,+1.237,-2.276,-2.994,+0.718,+0.718,pub
PRED,1788901517,1,+1.228,-2.985,-2.945,-0.040,-0.040,pub
PRED,1788901518,2,+1.228,-1.757,-1.354,-0.403,-0.403,pub
PRED,1788901547,1,+1.444,+3.582,+3.261,+0.321,+0.321,skip
PRED,1788901548,2,+1.444,-2.834,-3.031,+0.197,+0.197,pub
PRED,1788901577,1,+1.434,-0.653,-1.203,+0.550,+0.550,pub
#- PPS 0 2 377 3 -3ns[ +6ns] +/- 18ns
#* QPPS 0 2 377 4 -3ns[ +6ns] +/- 18ns
PPS                         6   3    20     +0.001      0.002     +0ns     3ns
QPPS                        6   3    19     +0.001      0.001     +1ns     2ns
ALL_DONE_DROPTEST17
