trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788052754.000000009, sequence: 244 - clear  0.000000000, sequence: 0
source 0 - assert 1788052754.999999992, sequence: 245 - clear  0.000000000, sequence: 0
source 0 - assert 1788052755.999999994, sequence: 246 - clear  0.000000000, sequence: 0
source 0 - assert 1788052756.999999995, sequence: 247 - clear  0.000000000, sequence: 0
source 0 - assert 1788052757.999999996, sequence: 248 - clear  0.000000000, sequence: 0
source 0 - assert 1788052758.999999998, sequence: 249 - clear  0.000000000, sequence: 0
source 0 - assert 1788052759.999999999, sequence: 250 - clear  0.000000000, sequence: 0
source 0 - assert 1788052761.000000001, sequence: 251 - clear  0.000000000, sequence: 0
source 0 - assert 1788052761.999999984, sequence: 252 - clear  0.000000000, sequence: 0
source 0 - assert 1788052763.000000004, sequence: 253 - clear  0.000000000, sequence: 0
source 0 - assert 1788052764.000000005, sequence: 254 - clear  0.000000000, sequence: 0
source 0 - assert 1788052764.999999988, sequence: 255 - clear  0.000000000, sequence: 0
source 0 - assert 1788052766.000000008, sequence: 256 - clear  0.000000000, sequence: 0
source 0 - assert 1788052766.999999991, sequence: 257 - clear  0.000000000, sequence: 0
source 0 - assert 1788052767.999999993, sequence: 258 - clear  0.000000000, sequence: 0
source 0 - assert 1788052769.000000031, sequence: 259 - clear  0.000000000, sequence: 0
source 0 - assert 1788052769.999999996, sequence: 260 - clear  0.000000000, sequence: 0
source 0 - assert 1788052770.999999997, sequence: 261 - clear  0.000000000, sequence: 0
source 0 - assert 1788052771.999999998, sequence: 262 - clear  0.000000000, sequence: 0
source 0 - assert 1788052772.999999981, sequence: 263 - clear  0.000000000, sequence: 0
source 0 - assert 1788052774.000000001, sequence: 264 - clear  0.000000000, sequence: 0
source 0 - assert 1788052775.000000003, sequence: 265 - clear  0.000000000, sequence: 0
source 0 - assert 1788052776.000000004, sequence: 266 - clear  0.000000000, sequence: 0
source 0 - assert 1788052777.000000006, sequence: 267 - clear  0.000000000, sequence: 0
source 0 - assert 1788052778.000000007, sequence: 268 - clear  0.000000000, sequence: 0
source 0 - assert 1788052779.000000009, sequence: 269 - clear  0.000000000, sequence: 0
source 0 - assert 1788052780.000000010, sequence: 270 - clear  0.000000000, sequence: 0
source 0 - assert 1788052780.999999993, sequence: 271 - clear  0.000000000, sequence: 0
source 0 - assert 1788052782.000000013, sequence: 272 - clear  0.000000000, sequence: 0
source 0 - assert 1788052783.000000015, sequence: 273 - clear  0.000000000, sequence: 0
source 0 - assert 1788052784.000000016, sequence: 274 - clear  0.000000000, sequence: 0
source 0 - assert 1788052784.999999999, sequence: 275 - clear  0.000000000, sequence: 0
source 0 - assert 1788052786.000000000, sequence: 276 - clear  0.000000000, sequence: 0
source 0 - assert 1788052787.000000039, sequence: 277 - clear  0.000000000, sequence: 0
source 0 - assert 1788052788.000000003, sequence: 278 - clear  0.000000000, sequence: 0
source 0 - assert 1788052789.000000005, sequence: 279 - clear  0.000000000, sequence: 0
source 0 - assert 1788052790.000000006, sequence: 280 - clear  0.000000000, sequence: 0
source 0 - assert 1788052790.999999989, sequence: 281 - clear  0.000000000, sequence: 0
source 0 - assert 1788052791.999999990, sequence: 282 - clear  0.000000000, sequence: 0
source 0 - assert 1788052792.999999992, sequence: 283 - clear  0.000000000, sequence: 0
source 0 - assert 1788052794.000000012, sequence: 284 - clear  0.000000000, sequence: 0
source 0 - assert 1788052794.999999995, sequence: 285 - clear  0.000000000, sequence: 0
source 0 - assert 1788052796.000000014, sequence: 286 - clear  0.000000000, sequence: 0
source 0 - assert 1788052796.999999997, sequence: 287 - clear  0.000000000, sequence: 0
source 0 - assert 1788052798.000000017, sequence: 288 - clear  0.000000000, sequence: 0
source 0 - assert 1788052799.000000000, sequence: 289 - clear  0.000000000, sequence: 0
source 0 - assert 1788052800.000000002, sequence: 290 - clear  0.000000000, sequence: 0
source 0 - assert 1788052801.000000040, sequence: 291 - clear  0.000000000, sequence: 0
source 0 - assert 1788052801.999999986, sequence: 292 - clear  0.000000000, sequence: 0
source 0 - assert 1788052803.000000006, sequence: 293 - clear  0.000000000, sequence: 0
source 0 - assert 1788052804.000000008, sequence: 294 - clear  0.000000000, sequence: 0
source 0 - assert 1788052805.000000009, sequence: 295 - clear  0.000000000, sequence: 0
source 0 - assert 1788052806.000000010, sequence: 296 - clear  0.000000000, sequence: 0
source 0 - assert 1788052807.000000012, sequence: 297 - clear  0.000000000, sequence: 0
source 0 - assert 1788052808.000000013, sequence: 298 - clear  0.000000000, sequence: 0
source 0 - assert 1788052808.999999996, sequence: 299 - clear  0.000000000, sequence: 0
source 0 - assert 1788052809.999999997, sequence: 300 - clear  0.000000000, sequence: 0
source 0 - assert 1788052810.999999998, sequence: 301 - clear  0.000000000, sequence: 0
source 0 - assert 1788052812.000000018, sequence: 302 - clear  0.000000000, sequence: 0
source 0 - assert 1788052813.000000001, sequence: 303 - clear  0.000000000, sequence: 0
source 0 - assert 1788052814.000000021, sequence: 304 - clear  0.000000000, sequence: 0
source 0 - assert 1788052815.000000004, sequence: 305 - clear  0.000000000, sequence: 0
source 0 - assert 1788052816.000000005, sequence: 306 - clear  0.000000000, sequence: 0
source 0 - assert 1788052816.999999988, sequence: 307 - clear  0.000000000, sequence: 0
source 0 - assert 1788052817.999999989, sequence: 308 - clear  0.000000000, sequence: 0
source 0 - assert 1788052818.999999991, sequence: 309 - clear  0.000000000, sequence: 0
source 0 - assert 1788052819.999999992, sequence: 310 - clear  0.000000000, sequence: 0
source 0 - assert 1788052820.999999975, sequence: 311 - clear  0.000000000, sequence: 0
source 0 - assert 1788052821.999999995, sequence: 312 - clear  0.000000000, sequence: 0
source 0 - assert 1788052822.999999997, sequence: 313 - clear  0.000000000, sequence: 0
source 0 - assert 1788052823.999999998, sequence: 314 - clear  0.000000000, sequence: 0
source 0 - assert 1788052824.999999999, sequence: 315 - clear  0.000000000, sequence: 0
source 0 - assert 1788052826.000000001, sequence: 316 - clear  0.000000000, sequence: 0
source 0 - assert 1788052827.000000002, sequence: 317 - clear  0.000000000, sequence: 0
source 0 - assert 1788052828.000000004, sequence: 318 - clear  0.000000000, sequence: 0
source 0 - assert 1788052829.000000005, sequence: 319 - clear  0.000000000, sequence: 0
source 0 - assert 1788052829.999999988, sequence: 320 - clear  0.000000000, sequence: 0
source 0 - assert 1788052830.999999990, sequence: 321 - clear  0.000000000, sequence: 0
source 0 - assert 1788052831.999999991, sequence: 322 - clear  0.000000000, sequence: 0
source 0 - assert 1788052832.999999992, sequence: 323 - clear  0.000000000, sequence: 0
source 0 - assert 1788052833.999999994, sequence: 324 - clear  0.000000000, sequence: 0
source 0 - assert 1788052834.999999995, sequence: 325 - clear  0.000000000, sequence: 0
source 0 - assert 1788052835.999999997, sequence: 326 - clear  0.000000000, sequence: 0
source 0 - assert 1788052837.000000017, sequence: 327 - clear  0.000000000, sequence: 0
source 0 - assert 1788052838.000000000, sequence: 328 - clear  0.000000000, sequence: 0
source 0 - assert 1788052839.000000001, sequence: 329 - clear  0.000000000, sequence: 0
source 0 - assert 1788052840.000000002, sequence: 330 - clear  0.000000000, sequence: 0
source 0 - assert 1788052840.999999985, sequence: 331 - clear  0.000000000, sequence: 0
source 0 - assert 1788052842.000000005, sequence: 332 - clear  0.000000000, sequence: 0
source 0 - assert 1788052842.999999988, sequence: 333 - clear  0.000000000, sequence: 0
source 0 - assert 1788052844.000000027, sequence: 334 - clear  0.000000000, sequence: 0
source 0 - assert 1788052844.999999991, sequence: 335 - clear  0.000000000, sequence: 0
source 0 - assert 1788052846.000000011, sequence: 336 - clear  0.000000000, sequence: 0
source 0 - assert 1788052846.999999994, sequence: 337 - clear  0.000000000, sequence: 0
