trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788041920.000000142, sequence: 9187 - clear  0.000000000, sequence: 0
source 0 - assert 1788041921.000000269, sequence: 9188 - clear  0.000000000, sequence: 0
source 0 - assert 1788041921.999999559, sequence: 9189 - clear  0.000000000, sequence: 0
source 0 - assert 1788041922.999999884, sequence: 9190 - clear  0.000000000, sequence: 0
source 0 - assert 1788041923.999999708, sequence: 9191 - clear  0.000000000, sequence: 0
source 0 - assert 1788041925.000000014, sequence: 9192 - clear  0.000000000, sequence: 0
source 0 - assert 1788041925.999999864, sequence: 9193 - clear  0.000000000, sequence: 0
source 0 - assert 1788041926.999999629, sequence: 9194 - clear  0.000000000, sequence: 0
source 0 - assert 1788041928.000000097, sequence: 9195 - clear  0.000000000, sequence: 0
source 0 - assert 1788041928.999999898, sequence: 9196 - clear  0.000000000, sequence: 0
source 0 - assert 1788041929.999999700, sequence: 9197 - clear  0.000000000, sequence: 0
source 0 - assert 1788041930.999999761, sequence: 9198 - clear  0.000000000, sequence: 0
source 0 - assert 1788041931.999999970, sequence: 9199 - clear  0.000000000, sequence: 0
source 0 - assert 1788041932.999999846, sequence: 9200 - clear  0.000000000, sequence: 0
source 0 - assert 1788041933.999999540, sequence: 9201 - clear  0.000000000, sequence: 0
source 0 - assert 1788041935.000000072, sequence: 9202 - clear  0.000000000, sequence: 0
source 0 - assert 1788041935.999999807, sequence: 9203 - clear  0.000000000, sequence: 0
source 0 - assert 1788041936.999999950, sequence: 9204 - clear  0.000000000, sequence: 0
source 0 - assert 1788041937.999999737, sequence: 9205 - clear  0.000000000, sequence: 0
source 0 - assert 1788041939.000000298, sequence: 9206 - clear  0.000000000, sequence: 0
source 0 - assert 1788041939.999999674, sequence: 9207 - clear  0.000000000, sequence: 0
source 0 - assert 1788041940.999999476, sequence: 9208 - clear  0.000000000, sequence: 0
source 0 - assert 1788041941.999999971, sequence: 9209 - clear  0.000000000, sequence: 0
source 0 - assert 1788041942.999999770, sequence: 9210 - clear  0.000000000, sequence: 0
source 0 - assert 1788041944.000000013, sequence: 9211 - clear  0.000000000, sequence: 0
source 0 - assert 1788041944.999999868, sequence: 9212 - clear  0.000000000, sequence: 0
source 0 - assert 1788041946.000000491, sequence: 9213 - clear  0.000000000, sequence: 0
source 0 - assert 1788041947.000000031, sequence: 9214 - clear  0.000000000, sequence: 0
source 0 - assert 1788041948.000000108, sequence: 9215 - clear  0.000000000, sequence: 0
source 0 - assert 1788041949.000000018, sequence: 9216 - clear  0.000000000, sequence: 0
source 0 - assert 1788041950.000000557, sequence: 9217 - clear  0.000000000, sequence: 0
source 0 - assert 1788041951.000000225, sequence: 9218 - clear  0.000000000, sequence: 0
source 0 - assert 1788041952.000000338, sequence: 9219 - clear  0.000000000, sequence: 0
source 0 - assert 1788041953.000000636, sequence: 9220 - clear  0.000000000, sequence: 0
source 0 - assert 1788041953.999999978, sequence: 9221 - clear  0.000000000, sequence: 0
source 0 - assert 1788041954.999999900, sequence: 9222 - clear  0.000000000, sequence: 0
source 0 - assert 1788041956.000000156, sequence: 9223 - clear  0.000000000, sequence: 0
source 0 - assert 1788041957.000000209, sequence: 9224 - clear  0.000000000, sequence: 0
source 0 - assert 1788041958.000000031, sequence: 9225 - clear  0.000000000, sequence: 0
source 0 - assert 1788041958.999999753, sequence: 9226 - clear  0.000000000, sequence: 0
source 0 - assert 1788041960.000000437, sequence: 9227 - clear  0.000000000, sequence: 0
source 0 - assert 1788041961.000000011, sequence: 9228 - clear  0.000000000, sequence: 0
source 0 - assert 1788041961.999999936, sequence: 9229 - clear  0.000000000, sequence: 0
source 0 - assert 1788041962.999999879, sequence: 9230 - clear  0.000000000, sequence: 0
source 0 - assert 1788041964.000000322, sequence: 9231 - clear  0.000000000, sequence: 0
source 0 - assert 1788041964.999999839, sequence: 9232 - clear  0.000000000, sequence: 0
source 0 - assert 1788041965.999999709, sequence: 9233 - clear  0.000000000, sequence: 0
source 0 - assert 1788041967.000000338, sequence: 9234 - clear  0.000000000, sequence: 0
source 0 - assert 1788041967.999999912, sequence: 9235 - clear  0.000000000, sequence: 0
source 0 - assert 1788041969.000000004, sequence: 9236 - clear  0.000000000, sequence: 0
source 0 - assert 1788041969.999999708, sequence: 9237 - clear  0.000000000, sequence: 0
source 0 - assert 1788041971.000000393, sequence: 9238 - clear  0.000000000, sequence: 0
source 0 - assert 1788041971.999999986, sequence: 9239 - clear  0.000000000, sequence: 0
source 0 - assert 1788041972.999999820, sequence: 9240 - clear  0.000000000, sequence: 0
source 0 - assert 1788041973.999999802, sequence: 9241 - clear  0.000000000, sequence: 0
source 0 - assert 1788041974.999999786, sequence: 9242 - clear  0.000000000, sequence: 0
source 0 - assert 1788041975.999999880, sequence: 9243 - clear  0.000000000, sequence: 0
source 0 - assert 1788041976.999999827, sequence: 9244 - clear  0.000000000, sequence: 0
source 0 - assert 1788041977.999999960, sequence: 9245 - clear  0.000000000, sequence: 0
source 0 - assert 1788041978.999999652, sequence: 9246 - clear  0.000000000, sequence: 0
source 0 - assert 1788041979.999999825, sequence: 9247 - clear  0.000000000, sequence: 0
source 0 - assert 1788041981.000000350, sequence: 9248 - clear  0.000000000, sequence: 0
source 0 - assert 1788041981.999999893, sequence: 9249 - clear  0.000000000, sequence: 0
source 0 - assert 1788041983.000000008, sequence: 9250 - clear  0.000000000, sequence: 0
source 0 - assert 1788041983.999999827, sequence: 9251 - clear  0.000000000, sequence: 0
source 0 - assert 1788041985.000000738, sequence: 9252 - clear  0.000000000, sequence: 0
source 0 - assert 1788041986.000000204, sequence: 9253 - clear  0.000000000, sequence: 0
source 0 - assert 1788041987.000001114, sequence: 9254 - clear  0.000000000, sequence: 0
source 0 - assert 1788041988.000000154, sequence: 9255 - clear  0.000000000, sequence: 0
source 0 - assert 1788041989.000000471, sequence: 9256 - clear  0.000000000, sequence: 0
source 0 - assert 1788041989.999999970, sequence: 9257 - clear  0.000000000, sequence: 0
source 0 - assert 1788041990.999999985, sequence: 9258 - clear  0.000000000, sequence: 0
source 0 - assert 1788041992.000000130, sequence: 9259 - clear  0.000000000, sequence: 0
source 0 - assert 1788041992.999999904, sequence: 9260 - clear  0.000000000, sequence: 0
source 0 - assert 1788041994.000000013, sequence: 9261 - clear  0.000000000, sequence: 0
source 0 - assert 1788041995.000000049, sequence: 9262 - clear  0.000000000, sequence: 0
source 0 - assert 1788041996.000000364, sequence: 9263 - clear  0.000000000, sequence: 0
source 0 - assert 1788041996.999999900, sequence: 9264 - clear  0.000000000, sequence: 0
source 0 - assert 1788041998.000000826, sequence: 9265 - clear  0.000000000, sequence: 0
source 0 - assert 1788041999.000000233, sequence: 9266 - clear  0.000000000, sequence: 0
