trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788043787.000000140, sequence: 302 - clear  0.000000000, sequence: 0
source 0 - assert 1788043787.999999883, sequence: 303 - clear  0.000000000, sequence: 0
source 0 - assert 1788043789.000000014, sequence: 304 - clear  0.000000000, sequence: 0
source 0 - assert 1788043789.999999886, sequence: 305 - clear  0.000000000, sequence: 0
source 0 - assert 1788043791.000000110, sequence: 306 - clear  0.000000000, sequence: 0
source 0 - assert 1788043791.999999927, sequence: 307 - clear  0.000000000, sequence: 0
source 0 - assert 1788043793.000000021, sequence: 308 - clear  0.000000000, sequence: 0
source 0 - assert 1788043794.000000004, sequence: 309 - clear  0.000000000, sequence: 0
source 0 - assert 1788043795.000000025, sequence: 310 - clear  0.000000000, sequence: 0
source 0 - assert 1788043795.999999878, sequence: 311 - clear  0.000000000, sequence: 0
source 0 - assert 1788043797.000000084, sequence: 312 - clear  0.000000000, sequence: 0
source 0 - assert 1788043797.999999937, sequence: 313 - clear  0.000000000, sequence: 0
source 0 - assert 1788043799.000000457, sequence: 314 - clear  0.000000000, sequence: 0
source 0 - assert 1788043799.999999941, sequence: 315 - clear  0.000000000, sequence: 0
source 0 - assert 1788043801.000000035, sequence: 316 - clear  0.000000000, sequence: 0
source 0 - assert 1788043801.999999925, sequence: 317 - clear  0.000000000, sequence: 0
source 0 - assert 1788043803.000000093, sequence: 318 - clear  0.000000000, sequence: 0
source 0 - assert 1788043803.999999873, sequence: 319 - clear  0.000000000, sequence: 0
source 0 - assert 1788043805.000000078, sequence: 320 - clear  0.000000000, sequence: 0
source 0 - assert 1788043806.000000228, sequence: 321 - clear  0.000000000, sequence: 0
source 0 - assert 1788043807.000000063, sequence: 322 - clear  0.000000000, sequence: 0
source 0 - assert 1788043807.999999916, sequence: 323 - clear  0.000000000, sequence: 0
source 0 - assert 1788043809.000000085, sequence: 324 - clear  0.000000000, sequence: 0
source 0 - assert 1788043809.999999901, sequence: 325 - clear  0.000000000, sequence: 0
source 0 - assert 1788043811.000000106, sequence: 326 - clear  0.000000000, sequence: 0
source 0 - assert 1788043811.999999904, sequence: 327 - clear  0.000000000, sequence: 0
source 0 - assert 1788043813.000000165, sequence: 328 - clear  0.000000000, sequence: 0
source 0 - assert 1788043813.999999888, sequence: 329 - clear  0.000000000, sequence: 0
source 0 - assert 1788043815.000000223, sequence: 330 - clear  0.000000000, sequence: 0
source 0 - assert 1788043815.999999891, sequence: 331 - clear  0.000000000, sequence: 0
source 0 - assert 1788043817.000000041, sequence: 332 - clear  0.000000000, sequence: 0
source 0 - assert 1788043817.999999876, sequence: 333 - clear  0.000000000, sequence: 0
source 0 - assert 1788043819.000000099, sequence: 334 - clear  0.000000000, sequence: 0
source 0 - assert 1788043819.999999897, sequence: 335 - clear  0.000000000, sequence: 0
source 0 - assert 1788043821.000000047, sequence: 336 - clear  0.000000000, sequence: 0
source 0 - assert 1788043821.999999863, sequence: 337 - clear  0.000000000, sequence: 0
source 0 - assert 1788043823.000000087, sequence: 338 - clear  0.000000000, sequence: 0
source 0 - assert 1788043823.999999941, sequence: 339 - clear  0.000000000, sequence: 0
source 0 - assert 1788043825.000000109, sequence: 340 - clear  0.000000000, sequence: 0
source 0 - assert 1788043825.999999851, sequence: 341 - clear  0.000000000, sequence: 0
source 0 - assert 1788043827.000000038, sequence: 342 - clear  0.000000000, sequence: 0
source 0 - assert 1788043827.999999891, sequence: 343 - clear  0.000000000, sequence: 0
source 0 - assert 1788043829.000000115, sequence: 344 - clear  0.000000000, sequence: 0
source 0 - assert 1788043829.999999950, sequence: 345 - clear  0.000000000, sequence: 0
source 0 - assert 1788043831.000000100, sequence: 346 - clear  0.000000000, sequence: 0
source 0 - assert 1788043831.999999916, sequence: 347 - clear  0.000000000, sequence: 0
source 0 - assert 1788043833.000000066, sequence: 348 - clear  0.000000000, sequence: 0
source 0 - assert 1788043833.999999938, sequence: 349 - clear  0.000000000, sequence: 0
source 0 - assert 1788043835.000000181, sequence: 350 - clear  0.000000000, sequence: 0
source 0 - assert 1788043835.999999923, sequence: 351 - clear  0.000000000, sequence: 0
source 0 - assert 1788043837.000000054, sequence: 352 - clear  0.000000000, sequence: 0
source 0 - assert 1788043837.999999926, sequence: 353 - clear  0.000000000, sequence: 0
source 0 - assert 1788043839.000000076, sequence: 354 - clear  0.000000000, sequence: 0
source 0 - assert 1788043839.999999892, sequence: 355 - clear  0.000000000, sequence: 0
source 0 - assert 1788043841.000000042, sequence: 356 - clear  0.000000000, sequence: 0
source 0 - assert 1788043841.999999914, sequence: 357 - clear  0.000000000, sequence: 0
source 0 - assert 1788043843.000000101, sequence: 358 - clear  0.000000000, sequence: 0
source 0 - assert 1788043843.999999936, sequence: 359 - clear  0.000000000, sequence: 0
source 0 - assert 1788043845.000000419, sequence: 360 - clear  0.000000000, sequence: 0
source 0 - assert 1788043845.999999902, sequence: 361 - clear  0.000000000, sequence: 0
source 0 - assert 1788043847.000000089, sequence: 362 - clear  0.000000000, sequence: 0
source 0 - assert 1788043847.999999869, sequence: 363 - clear  0.000000000, sequence: 0
source 0 - assert 1788043849.000000056, sequence: 364 - clear  0.000000000, sequence: 0
source 0 - assert 1788043849.999999910, sequence: 365 - clear  0.000000000, sequence: 0
source 0 - assert 1788043851.000000134, sequence: 366 - clear  0.000000000, sequence: 0
source 0 - assert 1788043851.999999914, sequence: 367 - clear  0.000000000, sequence: 0
source 0 - assert 1788043853.000000138, sequence: 368 - clear  0.000000000, sequence: 0
source 0 - assert 1788043853.999999899, sequence: 369 - clear  0.000000000, sequence: 0
source 0 - assert 1788043855.000000234, sequence: 370 - clear  0.000000000, sequence: 0
source 0 - assert 1788043855.999999921, sequence: 371 - clear  0.000000000, sequence: 0
source 0 - assert 1788043857.000000127, sequence: 372 - clear  0.000000000, sequence: 0
source 0 - assert 1788043857.999999887, sequence: 373 - clear  0.000000000, sequence: 0
source 0 - assert 1788043859.000000278, sequence: 374 - clear  0.000000000, sequence: 0
source 0 - assert 1788043859.999999965, sequence: 375 - clear  0.000000000, sequence: 0
source 0 - assert 1788043861.000000096, sequence: 376 - clear  0.000000000, sequence: 0
source 0 - assert 1788043861.999999949, sequence: 377 - clear  0.000000000, sequence: 0
source 0 - assert 1788043863.000000580, sequence: 378 - clear  0.000000000, sequence: 0
source 0 - assert 1788043864.000000045, sequence: 379 - clear  0.000000000, sequence: 0
source 0 - assert 1788043865.000000046, sequence: 380 - clear  0.000000000, sequence: 0
source 0 - assert 1788043865.999999899, sequence: 381 - clear  0.000000000, sequence: 0
source 0 - assert 1788043867.000000196, sequence: 382 - clear  0.000000000, sequence: 0
source 0 - assert 1788043867.999999938, sequence: 383 - clear  0.000000000, sequence: 0
source 0 - assert 1788043869.000000069, sequence: 384 - clear  0.000000000, sequence: 0
source 0 - assert 1788043869.999999886, sequence: 385 - clear  0.000000000, sequence: 0
source 0 - assert 1788043871.000000073, sequence: 386 - clear  0.000000000, sequence: 0
source 0 - assert 1788043871.999999870, sequence: 387 - clear  0.000000000, sequence: 0
source 0 - assert 1788043873.000000113, sequence: 388 - clear  0.000000000, sequence: 0
source 0 - assert 1788043873.999999911, sequence: 389 - clear  0.000000000, sequence: 0
source 0 - assert 1788043875.000000098, sequence: 390 - clear  0.000000000, sequence: 0
source 0 - assert 1788043875.999999896, sequence: 391 - clear  0.000000000, sequence: 0
source 0 - assert 1788043877.000000157, sequence: 392 - clear  0.000000000, sequence: 0
source 0 - assert 1788043877.999999955, sequence: 393 - clear  0.000000000, sequence: 0
source 0 - assert 1788043879.000000142, sequence: 394 - clear  0.000000000, sequence: 0
source 0 - assert 1788043879.999999958, sequence: 395 - clear  0.000000000, sequence: 0
source 0 - assert 1788043881.000000052, sequence: 396 - clear  0.000000000, sequence: 0
source 0 - assert 1788043881.999999943, sequence: 397 - clear  0.000000000, sequence: 0
source 0 - assert 1788043883.000000111, sequence: 398 - clear  0.000000000, sequence: 0
source 0 - assert 1788043883.999999909, sequence: 399 - clear  0.000000000, sequence: 0
source 0 - assert 1788043885.000000095, sequence: 400 - clear  0.000000000, sequence: 0
source 0 - assert 1788043885.999999912, sequence: 401 - clear  0.000000000, sequence: 0
source 0 - assert 1788043887.000000191, sequence: 402 - clear  0.000000000, sequence: 0
source 0 - assert 1788043887.999999915, sequence: 403 - clear  0.000000000, sequence: 0
source 0 - assert 1788043889.000000139, sequence: 404 - clear  0.000000000, sequence: 0
source 0 - assert 1788043889.999999936, sequence: 405 - clear  0.000000000, sequence: 0
source 0 - assert 1788043891.000000363, sequence: 406 - clear  0.000000000, sequence: 0
source 0 - assert 1788043891.999999920, sequence: 407 - clear  0.000000000, sequence: 0
source 0 - assert 1788043893.000000050, sequence: 408 - clear  0.000000000, sequence: 0
source 0 - assert 1788043893.999999959, sequence: 409 - clear  0.000000000, sequence: 0
source 0 - assert 1788043895.000000108, sequence: 410 - clear  0.000000000, sequence: 0
source 0 - assert 1788043895.999999887, sequence: 411 - clear  0.000000000, sequence: 0
source 0 - assert 1788043897.000000036, sequence: 412 - clear  0.000000000, sequence: 0
source 0 - assert 1788043898.000000149, sequence: 413 - clear  0.000000000, sequence: 0
source 0 - assert 1788043899.000000187, sequence: 414 - clear  0.000000000, sequence: 0
source 0 - assert 1788043900.000000059, sequence: 415 - clear  0.000000000, sequence: 0
source 0 - assert 1788043901.000000078, sequence: 416 - clear  0.000000000, sequence: 0
source 0 - assert 1788043901.999999948, sequence: 417 - clear  0.000000000, sequence: 0
source 0 - assert 1788043903.000000188, sequence: 418 - clear  0.000000000, sequence: 0
source 0 - assert 1788043903.999999928, sequence: 419 - clear  0.000000000, sequence: 0
source 0 - assert 1788043905.000000040, sequence: 420 - clear  0.000000000, sequence: 0
source 0 - assert 1788043905.999999912, sequence: 421 - clear  0.000000000, sequence: 0
source 0 - assert 1788043907.000000043, sequence: 422 - clear  0.000000000, sequence: 0
source 0 - assert 1788043907.999999896, sequence: 423 - clear  0.000000000, sequence: 0
source 0 - assert 1788043909.000000064, sequence: 424 - clear  0.000000000, sequence: 0
source 0 - assert 1788043909.999999899, sequence: 425 - clear  0.000000000, sequence: 0
source 0 - assert 1788043911.000000086, sequence: 426 - clear  0.000000000, sequence: 0
source 0 - assert 1788043911.999999865, sequence: 427 - clear  0.000000000, sequence: 0
source 0 - assert 1788043913.000000237, sequence: 428 - clear  0.000000000, sequence: 0
source 0 - assert 1788043913.999999924, sequence: 429 - clear  0.000000000, sequence: 0
source 0 - assert 1788043915.000000184, sequence: 430 - clear  0.000000000, sequence: 0
source 0 - assert 1788043915.999999853, sequence: 431 - clear  0.000000000, sequence: 0
source 0 - assert 1788043917.000000113, sequence: 432 - clear  0.000000000, sequence: 0
source 0 - assert 1788043917.999999985, sequence: 433 - clear  0.000000000, sequence: 0
source 0 - assert 1788043919.000000227, sequence: 434 - clear  0.000000000, sequence: 0
source 0 - assert 1788043919.999999932, sequence: 435 - clear  0.000000000, sequence: 0
source 0 - assert 1788043921.000000045, sequence: 436 - clear  0.000000000, sequence: 0
source 0 - assert 1788043921.999999990, sequence: 437 - clear  0.000000000, sequence: 0
source 0 - assert 1788043923.000000510, sequence: 438 - clear  0.000000000, sequence: 0
source 0 - assert 1788043924.000000030, sequence: 439 - clear  0.000000000, sequence: 0
source 0 - assert 1788043925.000000087, sequence: 440 - clear  0.000000000, sequence: 0
source 0 - assert 1788043925.999999884, sequence: 441 - clear  0.000000000, sequence: 0
source 0 - assert 1788043927.000000182, sequence: 442 - clear  0.000000000, sequence: 0
source 0 - assert 1788043927.999999942, sequence: 443 - clear  0.000000000, sequence: 0
source 0 - assert 1788043929.000000055, sequence: 444 - clear  0.000000000, sequence: 0
source 0 - assert 1788043929.999999889, sequence: 445 - clear  0.000000000, sequence: 0
source 0 - assert 1788043931.000000094, sequence: 446 - clear  0.000000000, sequence: 0
source 0 - assert 1788043931.999999910, sequence: 447 - clear  0.000000000, sequence: 0
source 0 - assert 1788043933.000000152, sequence: 448 - clear  0.000000000, sequence: 0
source 0 - assert 1788043933.999999931, sequence: 449 - clear  0.000000000, sequence: 0
source 0 - assert 1788043935.000000117, sequence: 450 - clear  0.000000000, sequence: 0
source 0 - assert 1788043935.999999933, sequence: 451 - clear  0.000000000, sequence: 0
source 0 - assert 1788043937.000000249, sequence: 452 - clear  0.000000000, sequence: 0
source 0 - assert 1788043937.999999954, sequence: 453 - clear  0.000000000, sequence: 0
