trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788045602.000000108, sequence: 2117 - clear  0.000000000, sequence: 0
source 0 - assert 1788045603.000000031, sequence: 2118 - clear  0.000000000, sequence: 0
source 0 - assert 1788045604.000001250, sequence: 2119 - clear  0.000000000, sequence: 0
source 0 - assert 1788045605.000000358, sequence: 2120 - clear  0.000000000, sequence: 0
source 0 - assert 1788045605.999999923, sequence: 2121 - clear  0.000000000, sequence: 0
source 0 - assert 1788045606.999999987, sequence: 2122 - clear  0.000000000, sequence: 0
source 0 - assert 1788045608.000000034, sequence: 2123 - clear  0.000000000, sequence: 0
source 0 - assert 1788045608.999999988, sequence: 2124 - clear  0.000000000, sequence: 0
source 0 - assert 1788045609.999999970, sequence: 2125 - clear  0.000000000, sequence: 0
source 0 - assert 1788045610.999999915, sequence: 2126 - clear  0.000000000, sequence: 0
source 0 - assert 1788045612.000000194, sequence: 2127 - clear  0.000000000, sequence: 0
source 0 - assert 1788045612.999999935, sequence: 2128 - clear  0.000000000, sequence: 0
source 0 - assert 1788045613.999999937, sequence: 2129 - clear  0.000000000, sequence: 0
source 0 - assert 1788045614.999999828, sequence: 2130 - clear  0.000000000, sequence: 0
source 0 - assert 1788045615.999999997, sequence: 2131 - clear  0.000000000, sequence: 0
source 0 - assert 1788045616.999999870, sequence: 2132 - clear  0.000000000, sequence: 0
source 0 - assert 1788045617.999999784, sequence: 2133 - clear  0.000000000, sequence: 0
source 0 - assert 1788045619.000000143, sequence: 2134 - clear  0.000000000, sequence: 0
source 0 - assert 1788045619.999999835, sequence: 2135 - clear  0.000000000, sequence: 0
source 0 - assert 1788045621.000000028, sequence: 2136 - clear  0.000000000, sequence: 0
source 0 - assert 1788045622.000000087, sequence: 2137 - clear  0.000000000, sequence: 0
source 0 - assert 1788045622.999999942, sequence: 2138 - clear  0.000000000, sequence: 0
source 0 - assert 1788045624.000000075, sequence: 2139 - clear  0.000000000, sequence: 0
source 0 - assert 1788045624.999999949, sequence: 2140 - clear  0.000000000, sequence: 0
source 0 - assert 1788045626.000000229, sequence: 2141 - clear  0.000000000, sequence: 0
source 0 - assert 1788045627.000000008, sequence: 2142 - clear  0.000000000, sequence: 0
source 0 - assert 1788045627.999999917, sequence: 2143 - clear  0.000000000, sequence: 0
source 0 - assert 1788045629.000000123, sequence: 2144 - clear  0.000000000, sequence: 0
source 0 - assert 1788045630.000000327, sequence: 2145 - clear  0.000000000, sequence: 0
source 0 - assert 1788045631.000000123, sequence: 2146 - clear  0.000000000, sequence: 0
source 0 - assert 1788045632.000000087, sequence: 2147 - clear  0.000000000, sequence: 0
source 0 - assert 1788045633.000000254, sequence: 2148 - clear  0.000000000, sequence: 0
source 0 - assert 1788045633.999999893, sequence: 2149 - clear  0.000000000, sequence: 0
source 0 - assert 1788045634.999999885, sequence: 2150 - clear  0.000000000, sequence: 0
source 0 - assert 1788045635.999999746, sequence: 2151 - clear  0.000000000, sequence: 0
